Class,BaseType,DropLevel,Rarity,Height,Width,Sockets,Quality,Corrupted,SubGroup A,SubGroup B,SubGroup Tier,Game:Strength,Game:Dexterity,Game:Intelligence,Game:Damage From,Game:Damage To,Game:APS,Game:DPS,Game:Crit,Game:Implicit 1,Game:Implicit 2,Game:Armour,Game:Armour Max,Game:Evasion,Game:Evasion Max,Game:Energy Shield,Game:Energy Shield Max,Game:Block
One Hand Axes,Boarding Axe,11,NMR,3,2,3,0,,defa,,,28,19,,11,21,1.5,24.0,0.05,,,,,,,,,
One Hand Axes,Cleaver,16,NMRU,3,2,3,0,,defa,,,48,14,,12,35,1.3,30.55,0.05,,,,,,,,,
One Hand Axes,Broad Axe,21,NMR,3,2,3,0,,defa,,,54,25,,19,34,1.35,35.78,0.05,,,,,,,,,
One Hand Axes,Arming Axe,25,NMR,3,2,3,0,,defa,,,58,33,,14,42,1.4,39.2,0.05,,,,,,,,,
One Hand Axes,Decorative Axe,29,NMRU,3,2,3,0,,defa,,,80,23,,27,50,1.2,46.2,0.05,,,,,,,,,
One Hand Axes,Spectral Axe,33,NMR,3,2,3,0,,defa,,,85,37,,29,48,1.3,50.05,0.05,,,,,,,,,
One Hand Axes,Etched Hatchet,35,NMR,3,2,3,0,,defa,,,93,43,,26,46,1.35,48.6,0.05,8% increased Global Physical Damage,,,,,,,,
One Hand Axes,Jasper Axe,36,NMR,3,2,3,0,,defa,,,86,40,,32,50,1.3,53.3,0.05,,,,,,,,,
One Hand Axes,Tomahawk,39,NMRU,3,2,3,0,,defa,,,81,56,,25,46,1.5,53.25,0.05,,,,,,,,,
One Hand Axes,Wrist Chopper,42,NMR,3,2,3,0,,defa,,,112,32,,26,79,1.2,63.0,0.05,,,,,,,,,
One Hand Axes,War Axe,45,NMR,3,2,3,0,,defa,,,106,49,,35,65,1.3,65.0,0.05,,,,,,,,,
One Hand Axes,Chest Splitter,48,NMR,3,2,3,0,,defa,,,105,60,,24,71,1.4,66.5,0.05,,,,,,,,,
One Hand Axes,Ceremonial Axe,51,NMR,3,2,3,0,,defa,,,134,39,,45,83,1.2,76.8,0.05,,,,,,,,,
One Hand Axes,Wraith Axe,54,NMR,3,2,3,0,,defa,,,134,59,,45,75,1.3,78.0,0.05,,,,,,,,,
One Hand Axes,Engraved Hatchet,56,NMR,3,2,3,0,,defa,,,143,66,,40,71,1.35,74.93,0.05,8% increased Global Physical Damage,,,,,,,,
One Hand Axes,Karui Axe,57,NMR,3,2,3,0,,defa,,,132,62,,49,77,1.3,81.9,0.05,,,,,,,,,
One Hand Axes,Siege Axe,59,NMRU,3,2,3,0,,defa,,,119,82,,38,70,1.5,81.0,0.05,,,,,,,,,
One Hand Axes,Reaver Axe,61,NMR,3,2,3,0,,defa,,,167,57,,38,114,1.2,91.2,0.05,,,,,,,,,
One Hand Axes,Butcher Axe,63,NMR,3,2,3,0,,defa,,,149,76,,47,87,1.3,87.1,0.05,,,,,,,,,
One Hand Axes,Vaal Hatchet,65,NMRU,3,2,3,0,,defa,,,140,86,,30,90,1.4,84.0,0.05,,,,,,,,,
One Hand Axes,Royal Axe,67,NMRU,3,2,3,0,,defa,,,167,57,,54,100,1.2,92.4,0.05,,,,,,,,,
One Hand Axes,Infernal Axe,69,NMRU,3,2,3,0,,defa,,,158,76,,51,85,1.3,88.4,0.05,,,,,,,,,
One Hand Axes,Runic Hatchet,71,NMR,3,2,3,0,,defa,,,163,82,,44,79,1.35,83.03,0.05,12% increased Global Physical Damage,,,,,,,,
Two Hand Axes,Stone Axe,4,NMR,4,2,6,0,,defa,,,17,8,,12,20,1.3,20.8,0.05,,,,,,,,,
Two Hand Axes,Jade Chopper,9,NMR,4,2,6,0,,defa,,,31,9,,19,30,1.25,30.62,0.05,,,,,,,,,
Two Hand Axes,Woodsplitter,13,NMRU,4,2,6,0,,defa,,,36,17,,19,39,1.3,37.7,0.05,,,,,,,,,
Two Hand Axes,Poleaxe,18,NMRU,4,2,6,0,,defa,,,44,25,,29,43,1.3,46.8,0.05,,,,,,,,,
Two Hand Axes,Double Axe,23,NMR,4,2,6,0,,defa,,,62,27,,36,60,1.25,60.0,0.05,,,,,,,,,
Two Hand Axes,Gilded Axe,28,NMR,4,2,6,0,,defa,,,64,37,,43,58,1.3,65.65,0.05,,,,,,,,,
Two Hand Axes,Shadow Axe,33,NMRU,4,2,6,0,,defa,,,80,37,,49,73,1.25,76.25,0.05,,,,,,,,,
Two Hand Axes,Dagger Axe,36,NMR,4,2,6,0,,defa,,,89,43,,53,83,1.2,81.6,0.05,50% increased Critical Strike Chance,,,,,,,,
Two Hand Axes,Jasper Chopper,37,NMRU,4,2,6,0,,defa,,,100,29,,58,91,1.15,85.67,0.05,,,,,,,,,
Two Hand Axes,Timber Axe,41,NMR,4,2,6,0,,defa,,,97,45,,48,99,1.25,91.88,0.05,,,,,,,,,
Two Hand Axes,Headsman Axe,45,NMRU,4,2,6,0,,defa,,,99,57,,61,92,1.3,99.45,0.05,,,,,,,,,
Two Hand Axes,Labrys,49,NMR,4,2,6,0,,defa,,,122,53,,74,123,1.2,118.2,0.05,,,,,,,,,
Two Hand Axes,Noble Axe,52,NMR,4,2,6,0,,defa,,,113,65,,76,103,1.3,116.35,0.05,,,,,,,,,
Two Hand Axes,Abyssal Axe,55,NMRU,4,2,6,0,,defa,,,128,60,,81,121,1.25,126.25,0.05,,,,,,,,,
Two Hand Axes,Karui Chopper,58,NMRU,4,2,6,0,,defa,,,151,43,,121,189,1.05,162.75,0.05,,,,,,,,,
Two Hand Axes,Talon Axe,59,NMR,4,2,6,0,,defa,,,140,67,,88,138,1.2,135.6,0.05,50% increased Critical Strike Chance,,,,,,,,
Two Hand Axes,Sundering Axe,60,NMR,4,2,6,0,,defa,,,149,76,,74,155,1.3,148.85,0.05,+20% to Damage over Time Multiplier for Bleeding,,,,,,,,
Two Hand Axes,Ezomyte Axe,62,NMRU,4,2,6,0,,defa,,,140,86,,87,131,1.35,147.15,0.057,,,,,,,,,
Two Hand Axes,Vaal Axe,64,NMRU,4,2,6,0,,defa,,,158,76,,104,174,1.15,159.85,0.05,25% chance to Maim on Hit,,,,,,,,
Two Hand Axes,Despot Axe,66,NMRU,4,2,6,0,,defa,,,140,86,,90,122,1.4,148.4,0.05,,,,,,,,,
Two Hand Axes,Void Axe,68,NMRU,4,2,6,0,,defa,,,149,76,,96,144,1.25,150.0,0.06,,,,,,,,,
Two Hand Axes,Fleshripper,70,NMR,4,2,6,0,,defa,,,156,84,,97,152,1.2,149.4,0.05,50% increased Critical Strike Chance,,,,,,,,
Bows,Crude Bow,1,NMRU,3,2,6,0,,defa,,,,14,,5,13,1.4,12.6,0.05,,,,,,,,,
Bows,Short Bow,5,NMRU,3,2,6,0,,defa,,,,26,,6,16,1.5,16.5,0.05,,,,,,,,,
Bows,Long Bow,9,NMRU,4,2,6,0,,defa,,,,38,,8,33,1.3,26.65,0.06,,,,,,,,,
Bows,Composite Bow,14,NMR,4,2,6,0,,defa,,,,53,,16,34,1.3,32.5,0.06,,,,,,,,,
Bows,Recurve Bow,18,NMRU,4,2,6,0,,defa,,,,65,,15,45,1.25,37.5,0.067,+15-25% to Global Critical Strike Multiplier,,,,,,,,
Bows,Bone Bow,23,NMR,4,2,6,0,,defa,,,,80,,15,45,1.4,42.0,0.065,,,,,,,,,
Bows,Royal Bow,28,NMRU,4,2,6,0,,defa,,,,95,,14,56,1.45,50.75,0.05,20-24% increased Elemental Damage with Attack Skills,,,,,,,,
Bows,Death Bow,32,NMRU,4,2,6,0,,defa,,,,107,,28,73,1.2,60.6,0.05,30-50% increased Critical Strike Chance,,,,,,,,
Bows,Grove Bow,35,NMR,3,2,6,0,,defa,,,,116,,20,61,1.5,60.75,0.05,,,,,,,,,
Bows,Reflex Bow,36,NMR,4,2,6,0,,defa,,,,124,,37,56,1.4,65.1,0.055,6% increased Movement Speed,,,,,,,,
Bows,Decurve Bow,38,NMR,4,2,6,0,,defa,,,,125,,24,96,1.25,75.0,0.06,,,,,,,,,
Bows,Compound Bow,41,NMR,4,2,6,0,,defa,,,,134,,37,76,1.3,73.45,0.06,,,,,,,,,
Bows,Sniper Bow,44,NMR,4,2,6,0,,defa,,,,143,,32,96,1.25,80.0,0.067,+15-25% to Global Critical Strike Multiplier,,,,,,,,
Bows,Ivory Bow,47,NMR,4,2,6,0,,defa,,,,152,,29,86,1.4,80.5,0.065,,,,,,,,,
Bows,Highborn Bow,50,NMR,4,2,6,0,,defa,,,,161,,24,94,1.45,85.55,0.05,20-24% increased Elemental Damage with Attack Skills,,,,,,,,
Bows,Decimation Bow,53,NMRU,4,2,6,0,,defa,,,,170,,44,116,1.2,96.0,0.05,30-50% increased Critical Strike Chance,,,,,,,,
Bows,Thicket Bow,56,NMR,3,2,6,0,,defa,,,,179,,32,96,1.5,96.0,0.05,,,,,,,,,
Bows,Steelwood Bow,57,NMRU,4,2,6,0,,defa,,,,190,,58,86,1.4,100.8,0.055,6% increased Movement Speed,,,,,,,,
Bows,Citadel Bow,58,NMR,4,2,6,0,,defa,,,,185,,36,144,1.25,112.5,0.06,,,,,,,,,
Bows,Ranger Bow,60,NMRU,4,2,6,0,,defa,,,,212,,56,117,1.3,112.45,0.06,,,,,,,,,
Bows,Assassin Bow,62,NMRU,4,2,6,0,,defa,,,,212,,43,130,1.25,108.12,0.067,+15-25% to Global Critical Strike Multiplier,,,,,,,,
Bows,Spine Bow,64,NMRU,4,2,6,0,,defa,,,,212,,38,115,1.4,107.1,0.065,,,,,,,,,
Bows,Imperial Bow,66,NMRU,4,2,6,0,,defa,,,,212,,29,117,1.45,105.85,0.05,20-24% increased Elemental Damage with Attack Skills,,,,,,,,
Bows,Harbinger Bow,68,NMRU,4,2,6,0,,defa,,,,212,,50,133,1.2,109.8,0.05,30-50% increased Critical Strike Chance,,,,,,,,
Bows,Maraketh Bow,71,NMR,4,2,6,0,,defa,,,,222,,61,92,1.4,107.1,0.055,10% increased Movement Speed,,,,,,,,
Claws,Nailed Fist,3,NMRU,2,2,3,0,,defa,,,,11,11,4,11,1.6,12.0,0.062,Gain 3 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Sharktooth Claw,7,NMR,2,2,3,0,,defa,,,,14,20,6,17,1.5,17.25,0.065,Gain 6 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Awl,12,NMRU,2,2,3,0,,defa,,,,25,25,7,23,1.55,23.25,0.063,Gain 7 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Cat's Paw,17,NMR,2,2,3,0,,defa,,,,39,27,12,22,1.6,27.2,0.06,Gain 8 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Blinder,22,NMR,2,2,3,0,,defa,,,,41,41,12,31,1.55,33.33,0.063,Gain 12 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Timeworn Claw,26,NMRU,2,2,3,0,,defa,,,,39,56,16,43,1.3,38.35,0.065,Gain 19 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Sparkling Claw,30,NMR,2,2,3,0,,defa,,,,64,44,14,38,1.6,41.6,0.06,Gain 15 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Fright Claw,34,NMRU,2,2,3,0,,defa,,,,61,61,12,46,1.5,43.5,0.063,Gain 20 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Double Claw,36,NMR,2,2,3,0,,defa,,,,67,67,15,44,1.5,44.25,0.063,Gain 6 Mana per Enemy Hit with Attacks\nGain 15 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Thresher Claw,37,NMRU,2,2,3,0,,defa,,,,53,77,20,53,1.3,47.45,0.065,Gain 25 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Gouger,40,NMR,2,2,3,0,,defa,,,,70,70,15,51,1.5,49.5,0.063,Gain 24 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Tiger's Paw,43,NMR,2,2,3,0,,defa,,,,88,61,23,43,1.6,52.8,0.06,1.6% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Gut Ripper,46,NMRU,2,2,3,0,,defa,,,,80,80,20,53,1.5,54.75,0.063,Gain 44 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Prehistoric Claw,49,NMR,2,2,3,0,,defa,,,,69,100,26,68,1.3,61.1,0.065,2.0% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Noble Claw,52,NMR,2,2,3,0,,defa,,,,105,73,21,56,1.6,61.6,0.06,Gain 40 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Eagle Claw,55,NMR,2,2,3,0,,defa,,,,94,94,17,69,1.5,64.5,0.063,2.0% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Twin Claw,57,NMR,2,2,3,0,,defa,,,,103,103,21,64,1.5,63.75,0.063,Gain 10 Mana per Enemy Hit with Attacks\nGain 28 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Great White Claw,58,NMR,2,2,3,0,,defa,,,,81,117,30,78,1.3,70.2,0.065,Gain 46 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Throat Stabber,60,NMRU,2,2,3,0,,defa,,,,113,113,21,73,1.5,70.5,0.063,Gain 40 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Hellion's Paw,62,NMRU,2,2,3,0,,defa,,,,131,95,29,55,1.6,67.2,0.06,1.6% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Eye Gouger,64,NMR,2,2,3,0,,defa,,,,113,113,26,68,1.5,70.5,0.063,Gain 50 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Vaal Claw,66,NMRU,2,2,3,0,,defa,,,,95,131,29,76,1.3,68.25,0.065,2.0% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Imperial Claw,68,NMRU,2,2,3,0,,defa,,,,131,95,25,65,1.6,72.0,0.06,Gain 46 Life per Enemy Hit by Attacks,,,,,,,,
Claws,Terror Claw,70,NMRU,2,2,3,0,,defa,,,,113,113,18,71,1.5,66.75,0.063,2.0% of Physical Attack Damage Leeched as Life,,,,,,,,
Claws,Gemini Claw,72,NMR,2,2,3,0,,defa,,,,121,121,23,68,1.5,68.25,0.063,Gain 14 Mana per Enemy Hit with Attacks\nGain 38 Life per Enemy Hit by Attacks,,,,,,,,
Daggers,Glass Shank,1,NMR,3,1,3,0,,defa,,,,9,6,6,10,1.5,12.0,0.06,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Skinning Knife,5,NMRU,3,1,3,0,,defa,,,,16,11,4,17,1.45,15.22,0.06,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Stiletto,15,NMRU,3,1,3,0,,defa,,,,30,30,7,27,1.5,25.5,0.061,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Flaying Knife,30,NMRU,3,1,3,0,,defa,,,,64,44,11,45,1.4,39.2,0.06,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Prong Dagger,36,NMR,3,1,3,0,,defa,,,,55,77,14,54,1.35,45.9,0.062,4% Chance to Block Attack Damage,,,,,,,,
Daggers,Poignard,41,NMR,3,1,3,0,,defa,,,,72,72,13,52,1.5,48.75,0.061,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Trisula,51,NMR,3,1,3,0,,defa,,,,83,99,19,74,1.35,62.78,0.065,4% Chance to Block Attack Damage,,,,,,,,
Daggers,Gutting Knife,56,NMR,3,1,3,0,,defa,,,,113,78,19,76,1.4,66.5,0.065,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Ambusher,60,NMRU,3,1,3,0,,defa,,,,113,113,19,74,1.5,69.75,0.061,30% increased Global Critical Strike Chance,,,,,,,,
Daggers,Sai,70,NMR,3,1,3,0,,defa,,,,121,121,22,88,1.35,74.25,0.062,6% Chance to Block Attack Damage,,,,,,,,
Rune Daggers,Carving Knife,10,NMR,3,1,3,0,,defa,,,,18,26,3,26,1.45,21.02,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Boot Knife,20,NMRU,3,1,3,0,,defa,,,,31,45,8,34,1.45,30.45,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Copper Kris,24,NMR,3,1,3,0,,defa,,,,28,60,10,41,1.3,33.15,0.065,50% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Skean,28,NMR,3,1,3,0,,defa,,,,42,60,11,43,1.45,39.15,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Imp Dagger,32,NMR,3,1,3,0,,defa,,,,36,78,15,59,1.2,44.4,0.065,40% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Butcher Knife,38,NMR,3,1,3,0,,defa,,,,55,79,7,62,1.4,48.3,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Boot Blade,44,NMRU,3,1,3,0,,defa,,,,63,90,15,59,1.4,51.8,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Golden Kris,47,NMR,3,1,3,0,,defa,,,,51,110,19,75,1.2,56.4,0.065,50% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Royal Skean,50,NMRU,3,1,3,0,,defa,,,,71,102,16,64,1.45,58.0,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Fiend Dagger,53,NMRU,3,1,3,0,,defa,,,,58,123,22,87,1.2,65.4,0.065,40% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Slaughter Knife,58,NMRU,3,1,3,0,,defa,,,,81,117,10,86,1.4,67.2,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Ezomyte Dagger,62,NMRU,3,1,3,0,,defa,,,,95,131,20,79,1.4,69.3,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Platinum Kris,64,NMRU,3,1,3,0,,defa,,,,76,149,24,95,1.2,71.4,0.065,50% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Imperial Skean,66,NMRU,3,1,3,0,,defa,,,,95,131,18,73,1.5,68.25,0.063,30% increased Global Critical Strike Chance,,,,,,,,
Rune Daggers,Demon Dagger,68,NMRU,3,1,3,0,,defa,,,,76,149,24,97,1.2,72.6,0.065,40% increased Global Critical Strike Chance,,,,,,,,
One Hand Maces,Driftwood Club,1,NMR,3,1,3,0,,defa,,,14,,,6,8,1.45,10.15,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Tribal Club,5,NMR,3,1,3,0,,defa,,,26,,,8,13,1.4,14.7,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Spiked Club,10,NMRU,3,1,3,0,,defa,,,41,,,13,16,1.45,21.02,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Stone Hammer,15,NMR,3,2,3,0,,defa,,,56,,,15,27,1.3,27.3,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,War Hammer,20,NMRU,3,2,3,0,,defa,,,71,,,13,31,1.45,31.9,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Bladed Mace,24,NMR,3,2,3,0,,defa,,,83,,,19,32,1.4,35.7,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Ceremonial Mace,28,NMR,3,2,3,0,,defa,,,95,,,32,40,1.2,43.2,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Dream Mace,32,NMRU,3,2,3,0,,defa,,,107,,,21,43,1.4,44.8,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Wyrm Mace,34,NMR,3,2,3,0,,defa,,,118,,,28,42,1.35,47.25,0.05,4% increased Attack Speed,,,,,,,,
One Hand Maces,Petrified Club,35,NMR,3,1,3,0,,defa,,,116,,,31,51,1.25,51.25,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Barbed Club,38,NMR,3,1,3,0,,defa,,,125,,,33,42,1.4,52.5,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Rock Breaker,41,NMRU,3,2,3,0,,defa,,,134,,,37,69,1.15,60.95,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Battle Hammer,44,NMR,3,2,3,0,,defa,,,143,,,25,59,1.4,58.8,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Flanged Mace,47,NMR,3,2,3,0,,defa,,,152,,,38,63,1.3,65.65,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Ornate Mace,50,NMRU,3,2,3,0,,defa,,,161,,,53,67,1.2,72.0,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Phantom Mace,53,NMR,3,2,3,0,,defa,,,170,,,33,69,1.4,71.4,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Dragon Mace,55,NMR,3,2,3,0,,defa,,,184,,,44,66,1.35,74.25,0.05,4% increased Attack Speed,,,,,,,,
One Hand Maces,Ancestral Club,56,NMR,3,1,3,0,,defa,,,179,,,48,80,1.25,80.0,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Tenderizer,58,NMR,3,1,3,0,,defa,,,185,,,49,62,1.4,77.7,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Gavel,60,NMRU,3,2,3,0,,defa,,,212,,,54,101,1.15,89.12,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Legion Hammer,62,NMR,3,2,3,0,,defa,,,212,,,35,81,1.4,81.2,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Pernach,64,NMR,3,2,3,0,,defa,,,212,,,49,82,1.3,85.15,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Auric Mace,66,NMRU,3,2,3,0,,defa,,,212,,,65,82,1.2,88.2,0.05,15% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Nightmare Mace,68,NMRU,3,2,3,0,,defa,,,212,,,38,80,1.4,82.6,0.05,10% reduced Enemy Stun Threshold,,,,,,,,
One Hand Maces,Behemoth Mace,70,NMR,3,2,3,0,,defa,,,220,,,49,74,1.35,83.03,0.05,6% increased Attack Speed,,,,,,,,
Sceptres,Driftwood Sceptre,1,NMR,3,1,3,0,,defa,,,8,,8,5,8,1.2,10.08,0.06,10% increased Elemental Damage,,,,,,,,
